label,FlowName,mean_lag
No mitigation,ODA Loans,4.38668831168831
Significant mitigation,ODA Loans,4.21359223300971
Principal mitigation,ODA Loans,3.64426877470356
Principal mitigation,ODA Grants,0.488815789473684
Significant mitigation,ODA Grants,0.443988208043799
No mitigation,ODA Grants,0.252908648939526
