normalized_year,mean_cumulative_percentage_disbursed
1,0.876566595163378
2,0.902733369870374
3,0.914319652486385
4,0.919209360571176
5,0.921162164460208
6,0.921979361995486
7,0.922309261645332
8,0.92244553187532
9,0.922517780746613
10,0.922544254625519
11,0.922552921053204
