years_to_fulfill_commitment,N,pct,cum_pct
1,340448,0.798740589023323,0.798740589023323
2,38950,0.0913823724693887,0.890122961492712
3,20652,0.0484525996466705,0.938575561139382
4,11838,0.0277736720229172,0.966349233162299
5,6327,0.0148440634303934,0.981193296592693
6,3889,0.009124160373131,0.990317456965824
7,2090,0.00490344437640622,0.99522090134223
8,866,0.00203176211960181,0.997252663461832
9,837,0.00196372389619713,0.999216387358029
10,334,0.000783612641971138,1
