years,mean_cumulative_percentage_disbursed
1,0.874885099651106
2,0.903946390083589
3,0.915133684880163
4,0.919519719063202
5,0.921238169262095
6,0.921957129814689
7,0.922275969430749
8,0.92240470182542
9,0.922469631380177
10,0.922494177240889
