FlowCode,USD_Disbursement_Defl,USD_Commitment_Defl,aid_debt_ratio,FlowName
11,1478965.29513402,1645606.62885004,0.898735620776837,ODA Grants
13,430167.68585,686685.545076,0.626440572303573,ODA Loans
14,600661.313779,1067935.634088,0.562450858091232,Other Official Flows (non Export Credit)
19,16214.674646,19587.578408,0.827803943308151,Equity Investment
30,70173.647315,82863.288346,0.84686051827905,Private Development Finance
