FlowName,USD_Disbursement_Defl_original,USD_Disbursement_Defl_subset,percentage
Equity Investment,26300.305487,18999.594337,0.722409644496005
ODA Grants,2690033.69183961,2002557.5958714,0.744435878980359
ODA Loans,750502.500302004,670960.480056005,0.894014983009396
Other Official Flows (non Export Credit),1133939.248664,875243.875705006,0.771861346836892
Private Development Finance,84990.5413009972,83578.2455079999,0.983382906246054
